product_id,skin_tone,hydration_mean,hydration_count,breakouts_irritation_mean,breakouts_irritation_count,scent_mean,scent_count,packaging_mean,packaging_count,price_value_mean,price_value_count,texture_application_mean,texture_application_count,hydration_overall,breakouts_irritation_overall,scent_overall,packaging_overall,price_value_overall,texture_application_overall,hydration_delta,breakouts_irritation_delta,scent_delta,packaging_delta,price_value_delta,texture_application_delta,product_name,low_confidence,flagged,breakouts_flagged
P379709,mediumTan,0.22485895046136448,3,,0,0.002310385461896658,1,,0,0.17042851448059082,1,0.36435085046105087,2,0.5657016784404428,0.7293388477216164,0.32178050348187376,0.6687989876954816,0.3469773356552684,0.5462852284766823,-0.34084272797907833,,-0.3194701180199771,,-0.17654882117467757,-0.1819343780156314,Repairative Anti-Aging Moisturizer,True,True,False
P379709,tan,0.005263024941086769,1,,0,0.0244927816092968,1,,0,0.029355434700846672,1,,0,0.5657016784404428,0.7293388477216164,0.32178050348187376,0.6687989876954816,0.3469773356552684,0.5462852284766823,-0.5604386534993561,,-0.29728772187257696,,-0.3176219009544217,,Repairative Anti-Aging Moisturizer,True,True,False
P379710,deep,0.9635900259017944,4,0.8426901549100876,4,0.9491080703834692,8,0.6200967282056808,2,0.5146096744574606,2,0.8596362868944804,3,0.8537895826971887,0.7495046379971817,0.8578703828507346,0.7584315328424546,0.5462538154845659,0.7756188115578329,0.10980044320460569,0.09318551691290589,0.09123768753273465,-0.13833480463677372,-0.03164414102710522,0.0840174753366475,Regenerating Exfoliating Cleanser,True,False,False
P379710,fair,0.7968270584060272,49,0.7598596235597271,33,0.8093854599420435,63,0.70655764998854,22,0.4911643901516894,31,0.6079703322188421,11,0.8537895826971887,0.7495046379971817,0.8578703828507346,0.7584315328424546,0.5462538154845659,0.7756188115578329,-0.056962524291161554,0.010354985562545438,-0.04848492290869111,-0.05187388285391459,-0.055089425332876474,-0.16764847933899074,Regenerating Exfoliating Cleanser,True,True,False
P379710,fairLight,0.9824441834574654,14,0.8362308402678796,14,0.8316333797574044,25,0.8981359899044037,6,0.7172705307602882,6,0.6652080925414339,8,0.8537895826971887,0.7495046379971817,0.8578703828507346,0.7584315328424546,0.5462538154845659,0.7756188115578329,0.12865460076027668,0.08672620227069794,-0.026237003093330213,0.13970445706194912,0.17101671527572238,-0.11041071901639898,Regenerating Exfoliating Cleanser,True,True,False
P379710,light,0.8182310318215028,58,0.7264446510515107,36,0.8904177401742162,73,0.7533228898909228,36,0.6160232975299651,36,0.8508355630458229,18,0.8537895826971887,0.7495046379971817,0.8578703828507346,0.7584315328424546,0.5462538154845659,0.7756188115578329,-0.035558550875685935,-0.023059986945671018,0.032547357323481574,-0.005108642951531794,0.06976948204539923,0.07521675148799001,Regenerating Exfoliating Cleanser,True,False,False
P379710,lightMedium,0.8509947885862655,36,0.6006126855925648,31,0.8577823286759667,52,0.7048910746723414,25,0.4581099649258249,32,0.7945757676189875,17,0.8537895826971887,0.7495046379971817,0.8578703828507346,0.7584315328424546,0.5462538154845659,0.7756188115578329,-0.0027947941109232044,-0.14889195240461695,-8.805417476787092e-05,-0.053540458170113214,-0.08814385055874097,0.01895695606115466,Regenerating Exfoliating Cleanser,False,False,False
P379710,medium,0.9828173557917277,15,0.9548807526246096,13,0.9085556356876623,16,0.8354577023225526,6,0.484751557931304,4,,0,0.8537895826971887,0.7495046379971817,0.8578703828507346,0.7584315328424546,0.5462538154845659,0.7756188115578329,0.12902777309453894,0.20537611462742789,0.05068525283692771,0.077026169480098,-0.061502257553261885,,Regenerating Exfoliating Cleanser,True,True,True
P379710,mediumTan,0.8383740211871487,9,0.7852115780115128,6,0.9847111577788988,12,0.9516802430152893,5,0.7387899337336421,4,0.9842478036880493,1,0.8537895826971887,0.7495046379971817,0.8578703828507346,0.7584315328424546,0.5462538154845659,0.7756188115578329,-0.015415561510040088,0.03570694001433106,0.12684077492816426,0.19324871017283474,0.19253611824907624,0.20862899213021646,Regenerating Exfoliating Cleanser,True,True,False
P379710,tan,0.9848080830914634,7,0.9605231384436289,3,0.6663306171022769,9,0.9829949736595154,3,0.6786854647798464,4,0.9724747538566589,3,0.8537895826971887,0.7495046379971817,0.8578703828507346,0.7584315328424546,0.5462538154845659,0.7756188115578329,0.13101850039427465,0.2110185004464472,-0.19153976574845766,0.2245634408170608,0.1324316492952805,0.19685594229882608,Regenerating Exfoliating Cleanser,True,True,True
